LMean,luminanceFactor,condition,experiment,dataFilename,experimenter,observer,trials,alternatives,targetKind,targetGaborPhaseDeg,targetGaborCycles,targetHeightDeg,targetDurationSec,targetDurationSecMean,targetCheckDeg,fullResolutionTarget,noiseType,noiseSD,noiseCheckDeg,eccentricityXYDeg_1,eccentricityXYDeg_2,viewingDistanceCm,eyes,pThreshold,contrast,E,N,E1,conditionName,psych,targetCyclesPerDeg,steepness,guessing,lapse,E0,Neq
33.1541907184868,0.125,1,steepness,steepnessRun-NoiseDiscrimination-Shenghao.2018.1.29.13.19.36,Shenghao,Shenghao,40,4,gabor,0,3,0.738964285714286,0.100110578644043,0.166850964406738,0.0335892857142857,0,gaussian,0,0.0335892857142857,0,0,50,right,0.75,0.0631755233044085,0.000106970138551029,0,0.0268018555546167,photon,,4.05973611715239,4.34646111625399,0.25,0.05,,
33.1541907184868,0.125,1,steepness,steepnessRun-NoiseDiscrimination-yichen.2018.1.29.12.56.3,yichen,yichen,40,4,gabor,0,3,0.738964285714286,0.100060574237309,0.166767623728848,0.0335892857142857,0,gaussian,0,0.0335892857142857,0,0,50,right,0.75,0.0967071258562447,0.000250658141173284,0,0.0268018555546167,photon,,4.05973611715239,1.37860935367287,0.25,0,0.000106970138551029,0
33.1541907184868,0.125,1,steepness,steepnessRun-NoiseDiscrimination-yichen.2018.2.2.22.37.5,yichen,yichen,128,4,gabor,0,3,0.738964285714286,0.099689717199999,0.108776019548957,0.0335892857142857,0,gaussian,0,0.0335892857142857,0,0,50,right,0.75,0.149057155530831,0.000595484581259014,0,0.0268018555546167,photon,,4.05973611715239,3.66712380100961,0.25,0,0.000250658141173284,0
33.1541907184868,0.125,2,steepness,steepnessRun-NoiseDiscrimination-Shenghao.2018.1.29.13.21.59,Shenghao,Shenghao,40,4,gabor,0,3,0.738964285714286,0.0998975761016851,0.183145556186423,0.0335892857142857,0,gaussian,0.16,0.0335892857142857,0,0,50,right,0.75,0.153650147174008,0.000632748061688453,4.80889398309543e-07,0.0268018555546167,photon,,4.05973611715239,5,0.25,0,0.000595484581259014,7.68479537295255e-06
33.1541907184868,0.125,2,steepness,steepnessRun-NoiseDiscrimination-yichen.2018.1.29.12.58.57,yichen,yichen,40,4,gabor,0,3,0.738964285714286,0.101844204517153,0.186714374948114,0.0335892857142857,0,gaussian,0.16,0.0335892857142857,0,0,50,right,0.75,0.110519572226572,0.000327373297462473,4.90260125848456e-07,0.0268018555546167,photon,,4.05973611715239,5,0.25,0,,
33.1541907184868,0.125,2,steepness,steepnessRun-NoiseDiscrimination-yichen.2018.2.2.22.50.37,yichen,yichen,128,4,gabor,0,3,0.738964285714286,0.0996863407000092,0.101373739696233,0.0335892857142857,0,gaussian,0.16,0.0335892857142857,0,0,50,right,0.75,0.155692868834207,0.000649684199219931,4.79872548159844e-07,0.0268018555546167,photon,,4.05973611715239,2.37452014089399,0.25,0,,
265.233525747894,1,3,steepness,steepnessRun-NoiseDiscrimination-Shenghao.2018.1.29.13.24.25,Shenghao,Shenghao,40,4,gabor,0,3,6.04607142857143,0.407073504413912,0.678879875590284,0.302303571428571,0,gaussian,0,0.302303571428571,0,0,50,right,0.75,0.0215865447299121,0.000836048274093168,0,1.79417619573199,cortical,,0.49618996987418,2.67603591402069,0.25,0,,
265.233525747894,1,3,steepness,steepnessRun-NoiseDiscrimination-yichen.2018.1.29.13.1.23,yichen,yichen,40,4,gabor,0,3,6.04607142857143,0.399730245559205,0.682872502830308,0.302303571428571,0,gaussian,0,0.302303571428571,0,0,50,right,0.75,0.0259383453971162,0.00120711772901468,0,1.79417619573199,cortical,,0.49618996987418,3.2836172318439,0.25,0,0.000836048274093168,0
265.233525747894,1,3,steepness,steepnessRun-NoiseDiscrimination-yichen.2018.2.2.22.57.1,yichen,yichen,128,4,gabor,0,3,6.04607142857143,0.398834694915237,0.425579469378954,0.302303571428571,0,gaussian,0,0.302303571428571,0,0,50,right,0.75,0.0229494351115981,0.000944950568227079,0,1.79417619573199,cortical,,0.49618996987418,3.83887443240085,0.25,0,0.00120711772901468,-0
265.233525747894,1,4,steepness,steepnessRun-NoiseDiscrimination-Shenghao.2018.1.29.13.27.0,Shenghao,Shenghao,40,4,gabor,0,3,6.04607142857143,0.399628847593272,0.682699281305173,0.302303571428571,0,gaussian,0.16,0.302303571428571,0,0,50,right,0.75,0.137644026814129,0.0339922435258531,3.89557984508116e-05,1.79417619573199,cortical,,0.49618996987418,2.48210606340148,0.25,0,0.000944950568227079,1.11389770802208e-06
265.233525747894,1,4,steepness,steepnessRun-NoiseDiscrimination-yichen.2018.1.29.13.3.60,yichen,yichen,40,4,gabor,0,3,6.04607142857143,0.406737650482933,0.682132934664086,0.302303571428571,0,gaussian,0.16,0.302303571428571,0,0,50,right,0.75,0.120504001255964,0.0260536170637294,3.96487641720401e-05,1.79417619573199,cortical,,0.49618996987418,1.32786697130953,0.25,0,,
265.233525747894,1,4,steepness,steepnessRun-NoiseDiscrimination-yichen.2018.2.2.23.4.30,yichen,yichen,128,4,gabor,0,3,6.04607142857143,0.398701018983078,0.434002671705537,0.302303571428571,0,gaussian,0.16,0.302303571428571,0,0,50,right,0.75,0.102356523656565,0.0187973291131448,3.88653537680684e-05,1.79417619573199,cortical,,0.49618996987418,3.12982663039276,0.25,0.0124674005030537,,
265.233525747894,1,5,steepness,steepnessRun-NoiseDiscrimination-Shenghao.2018.1.29.13.29.46,Shenghao,Shenghao,40,4,gabor,0,3,6.04607142857143,0.203448323999917,0.339080539999863,0.302303571428571,0,gaussian,0,0.302303571428571,30,0,50,right,0.75,0.0350437763508273,0.00220336725213646,0,1.79417619573199,ganglion,,0.49618996987418,2.21747645810531,0.25,0,,
265.233525747894,1,5,steepness,steepnessRun-NoiseDiscrimination-yichen.2018.1.29.13.53.24,yichen,yichen,40,4,gabor,0,3,6.04607142857143,0.199438976800229,0.21481239792858,0.302303571428571,0,gaussian,0,0.302303571428571,30,0,50,right,0.75,0.0302010444652902,0.00163647364638024,0,1.79417619573199,ganglion,,0.49618996987418,5,0.25,0,0.00220336725213646,-0
265.233525747894,1,5,steepness,steepnessRun-NoiseDiscrimination-yichen.2018.2.2.23.15.6,yichen,yichen,128,4,gabor,0,3,6.04607142857143,0.19950242684736,0.215867860299683,0.302303571428571,0,gaussian,0,0.302303571428571,30,0,50,right,0.75,0.0328665892043934,0.00193809188742395,0,1.79417619573199,ganglion,,0.49618996987418,4.78643488990939,0.25,0,0.00163647364638024,0
265.233525747894,1,6,steepness,steepnessRun-NoiseDiscrimination-Shenghao.2018.1.29.13.32.59,Shenghao,Shenghao,40,4,gabor,0,3,6.04607142857143,0.203519231586299,0.339198719310499,0.302303571428571,0,gaussian,0.16,0.302303571428571,30,0,50,right,0.75,0.128681689018412,0.0297097225180937,3.96780873767602e-05,1.79417619573199,ganglion,,0.49618996987418,1,0.25,0.05,0.00193809188742395,2.76900482640271e-06
265.233525747894,1,6,steepness,steepnessRun-NoiseDiscrimination-yichen.2018.1.29.13.55.46,yichen,yichen,40,4,gabor,0,3,6.04607142857143,0.199303078169439,0.213835594285961,0.302303571428571,0,gaussian,0.16,0.302303571428571,30,0,50,right,0.75,0.139532829310886,0.0349315527841951,3.88561065626421e-05,1.79417619573199,ganglion,,0.49618996987418,5,0.25,0,,
265.233525747894,1,6,steepness,steepnessRun-NoiseDiscrimination-yichen.2018.2.2.23.25.54,yichen,yichen,128,4,gabor,0,3,6.04607142857143,0.199399825627151,0.221988087123976,0.302303571428571,0,gaussian,0.16,0.302303571428571,30,0,50,right,0.75,0.114189159120109,0.0233945577696963,3.88749684365331e-05,1.79417619573199,ganglion,,0.49618996987418,3.31604252869134,0.25,0.05,,
