targetSize,noiseContrast,noiseDecayRadius,eccentricity,hardOrSoft,targetCross,noiseSpectrum,noiseCheckDeg,targetKind,meanThreshold,sdThreshold,squaredNoiseContrast,meanSquaredThreshold,sdSquaredThreshold,meanEnergy,sdEnergy,energyAtUnitContrast,noisePowerSpectralDensity,meanNeq,sdNeq,meanEfficiency,sdEfficiency
0.5,0,0,0,hard,1,white,0.05094375,letter,0.0154167813966183,0,0,0.000237677148631116,0,3.37888693429427e-05,0,0.142162885820313,6.6438801e-05,0,0,0,0
0.5,0.16,0.1018875,0,hard,1,white,0.05094375,letter,0.0279717044509553,0,0.0256,0.00078241624989159,0,0.000111230551997295,0,0.142162885820313,6.6438801e-05,2.898816101802e-05,0,1.68756782996609,0
0.5,0.16,0.15283125,0,hard,1,white,0.05094375,letter,0.042714899407286,0,0.0256,0.00182456263137456,0,0.000259385089036111,0,0.142162885820313,6.6438801e-05,9.95092900645247e-06,0,1.48802382944431,0
0.5,0.16,0.25471875,0,hard,1,white,0.05094375,letter,0.212923561087678,0,0.0256,0.0453364428662582,0,0.00644515955069499,0,0.142162885820313,6.6438801e-05,3.50142282807046e-07,0,0.128404675052362,0
0.5,0.16,0.45849375,0,hard,1,white,0.05094375,letter,0.210443371470049,0,0.0256,0.0442864125956811,0,0.00629588421723106,0,0.142162885820313,6.6438801e-05,3.58488946842347e-07,0,0.129901837235166,0
0.5,0.16,0.76415625,0,hard,1,white,0.05094375,letter,0.251902190084671,0,0.0256,0.0634547133694536,0,0.00902090517150229,0,0.142162885820313,6.6438801e-05,2.49790020604428e-07,0,0.0908245285828855,0
0.5,0.16,7.99816875,0,hard,1,white,0.05094375,letter,0.232495220938576,0,0.0256,0.0540540277592773,0,0.00768447657647014,0,0.142162885820313,6.6438801e-05,2.93423552525806e-07,0,0.120076249137951,0
1,0,0,0,hard,1,white,0.05094375,letter,0.00577152253400783,0,0,3.33104723605601e-05,0,1.88556019900889e-05,0,0.566056277617188,6.6438801e-05,0,0,0,0
1,0,0,8,hard,1,white,0.05094375,letter,0.0303776217049085,0,0,0.000922799900446529,0,0.000522356676632274,0,0.566056277617188,0,0,0,0,0
1,0,0,16,hard,1,white,0.05094375,letter,0.0772218724195834,0,0,0.00596321757998642,0,0.00337551674594849,0,0.566056277617188,0,0,0,0,0
1,0.16,0.15283125,0,hard,1,white,0.05094375,letter,0.0151410720825779,0,0.0256,0.000229252063809819,0,0.000129769569876244,0,0.566056277617188,6.6438801e-05,1.12947324149522e-05,0,0.550359542251821,0
1,0.16,0.3056625,0,hard,1,white,0.05094375,letter,0.0223873735298677,0,0.0256,0.000501194493565821,0,0.0002837042893901,0,0.566056277617188,6.6438801e-05,4.73003510288367e-06,0,1.24142731443406,0
1,0.16,0.5094375,0,hard,1,white,0.05094375,letter,0.0822804220276465,0,0.0256,0.00677006784904761,0,0.00383223940584769,0,0.566056277617188,6.6438801e-05,3.28512327316083e-07,0,0.250487961217663,0
1,0.16,0.86604375,0,hard,1,white,0.05094375,letter,0.113821180312451,0,0.0256,0.0129552610877196,0,0.00733340686687335,0,0.566056277617188,6.6438801e-05,1.71267319482614e-07,0,0.096845877927164,0
1,0.16,1.47736875,0,hard,1,white,0.05094375,letter,0.0802537123871564,0,0.0256,0.00644065835192042,0,0.00364577509209213,0,0.566056277617188,6.6438801e-05,3.45401543037691e-07,0,0.24449214526718,0
1,0.16,15.9963375,0,hard,1,white,0.05094375,letter,0.101523924275363,0,0.0256,0.0103071072002697,0,0.00583440273478599,0,0.566056277617188,6.6438801e-05,2.15412851060919e-07,0,0.171315513151264,0
1,0.16,0.3056625,8,hard,1,white,0.05094375,letter,0.0630360038898595,0,0.0256,0.00397353778640239,0,0.00224924600834217,0,0.566056277617188,6.6438801e-05,2.00966852087908e-05,0,0.199371086589722,0
1,0.16,0.56038125,8,hard,1,white,0.05094375,letter,0.111106761189271,0,0.0256,0.0123447123819697,0,0.00698780193919256,0,0.566056277617188,6.6438801e-05,5.36772795692188e-06,0,0.132343063000912,0
1,0.16,1.018875,8,hard,1,white,0.05094375,letter,0.15907819084764,0,0.0256,0.0253058708033582,0,0.0143245470288104,0,0.566056277617188,6.6438801e-05,2.51443795544497e-06,0,0.0683134115019844,0
1,0.16,1.7320875,8,hard,1,white,0.05094375,letter,0.152222143874811,0,0.0256,0.0231715810858437,0,0.0131164189359575,0,0.566056277617188,6.6438801e-05,2.75564393562497e-06,0,0.0681966620741906,0
1,0.16,3.00568125,8,hard,1,white,0.05094375,letter,0.134311703988033,0,0.0256,0.018039633828169,0,0.0102114479743504,0,0.566056277617188,6.6438801e-05,3.58183757624063e-06,0,0.0905792035488371,0
1,0.16,Inf,8,soft,1,white,0.05094375,letter,0.140951870919291,0,0.0256,0.0198674299156485,0,0.0112460834238724,0,0.566056277617188,6.6438801e-05,3.23625844893192e-06,0,0.101166442378148,0
1,0.16,0.3056625,16,hard,1,white,0.05094375,letter,0.101499419327574,0,0.0256,0.0103021321238348,0,0.00583158656153838,0,0.566056277617188,6.6438801e-05,9.13106312909821e-05,0,0.107559041636129,0
1,0.16,0.56038125,16,hard,1,white,0.05094375,letter,0.132194060069317,0,0.0256,0.0174752695176102,0,0.00989198601349554,0,0.566056277617188,6.6438801e-05,3.4415152768864e-05,0,0.122537390910924,0
1,0.16,1.018875,16,hard,1,white,0.05094375,letter,0.197858061877325,0,0.0256,0.0391478126498513,0,0.0221598651054299,0,0.566056277617188,6.6438801e-05,1.19389441179652e-05,0,0.048581616455198,0
1,0.16,1.7320875,16,hard,1,white,0.05094375,letter,0.24230406752843,0,0.0256,0.0587112611408217,0,0.0332338779355842,0,0.566056277617188,6.6438801e-05,7.51097101183453e-06,0,0.0269194503397137,0
1,0.16,3.00568125,16,hard,1,white,0.05094375,letter,0.171844953796109,0,0.0256,0.0295306881451868,0,0.0167160314069385,0,0.566056277617188,6.6438801e-05,1.68108420893259e-05,0,0.0748423076659523,0
1,0.16,Inf,16,soft,1,white,0.05094375,letter,0.190134805793953,0,0.0256,0.0361512443743042,0,0.0204636388217479,0,0.566056277617188,6.6438801e-05,1.31240451327211e-05,0,0.0577981216072317,0
2,0,0,0,hard,1,white,0.05094375,letter,0.00489585538210355,0,0,2.39693999224723e-05,0,5.44172667620791e-05,0,2.27028073035156,6.6438801e-05,0,0,0,0
2,0,0,8,hard,1,white,0.1018875,letter,0.0235585522186191,0,0,0.000555005382637403,0,0.00125665712381292,0,2.26422511046875,0,0,0,0,0
2,0,0,16,hard,1,white,0.1018875,letter,0.0421461758248512,0,0,0.00177630013665927,0,0.00402194337315299,0,2.26422511046875,0,0,0,0,0
2,0,0,32,hard,1,white,0.1018875,letter,0.0823397019360216,0.0054362490422929,0,0.0067946029167378,0.000895238251584761,0.0153845105397419,0.00202702092909036,2.26422511046875,0,0,0,0,0
2,0.16,0.3056625,0,hard,1,white,0.05094375,letter,0.00618627280499555,0,0.0256,3.82699712178276e-05,0,8.68835782069429e-05,0,2.27028073035156,6.6438801e-05,0.000111359061022673,0,2.12368075610145,0
2,0.16,0.56038125,0,hard,1,white,0.05094375,letter,0.0165627699790193,0,0.0256,0.000274325349377904,0,0.000622795554539615,0,2.27028073035156,6.6438801e-05,6.36093607922048e-06,0,0.461066013356342,0
2,0.16,1.018875,0,hard,1,white,0.05094375,letter,0.053498342956297,0,0.0256,0.00286207269906957,0,0.00649770849756294,0,2.27028073035156,6.6438801e-05,5.61113540869752e-07,0,0.131713968996349,0
2,0.16,1.7320875,0,hard,1,white,0.05094375,letter,0.0560083937754857,0,0.0256,0.00313694017330987,0,0.00712173482773109,0,2.27028073035156,6.6438801e-05,5.1156862928259e-07,0,0.130651042277872,0
2,0.16,3.00568125,0,hard,1,white,0.05094375,letter,0.0586291583325707,0,0.0256,0.00343737820678564,0,0.00780381350579586,0,2.27028073035156,6.6438801e-05,4.66541888664667e-07,0,0.110824680505461,0
2,0.16,Inf,0,soft,1,white,0.05094375,letter,0.05344627316753,0,0.0256,0.00285650411549823,0,0.00648506624958558,0,2.27028073035156,6.6438801e-05,5.62216654497331e-07,0,0.135584912285479,0
2,0.16,0.611325,8,hard,1,white,0.1018875,letter,0.0400360403171935,0,0.0256,0.00160288452427994,0,0.0036292913890564,0,2.26422511046875,0.000265755204,0.000140756278870771,0,0.558424685146515,0
2,0.16,1.1207625,8,hard,1,white,0.1018875,letter,0.121975362676457,0,0.0256,0.0148779891000532,0,0.0336871165136208,0,2.26422511046875,0.000265755204,1.0297824223912e-05,0,0.118775015199567,0
2,0.16,2.03775,8,hard,1,white,0.1018875,letter,0.14124678599064,0,0.0256,0.0199506545526856,0,0.0451727730084783,0,2.26422511046875,0.000265755204,7.60456983887252e-06,0,0.0730549430482567,0
2,0.16,3.464175,8,hard,1,white,0.1018875,letter,0.1475642459516,0,0.0256,0.0217752066832642,0,0.0493039697578938,0,2.26422511046875,0.000265755204,6.95071486807922e-06,0,0.0753460817818271,0
2,0.16,6.0113625,8,hard,1,white,0.1018875,letter,0.149306422814472,0,0.0256,0.022292407893654,0,0.0504750297256231,0,2.26422511046875,0.000265755204,6.78533548841219e-06,0,0.0707099323860363,0
2,0.16,Inf,8,soft,1,white,0.1018875,letter,0.13147348546705,0,0.0256,0.0172852773808547,0,0.0391377590871486,0,2.26422511046875,0.000265755204,8.81608910480463e-06,0,0.0814587006751523,0
2,0.16,0.611325,16,hard,1,white,0.1018875,letter,0.0629669997854635,0,0.0256,0.00396484306198256,0,0.00897729722000872,0,2.26422511046875,0.000265755204,0.000215696479936933,0,0.427943548927551,0
2,0.16,1.1207625,16,hard,1,white,0.1018875,letter,0.150754984711703,0,0.0256,0.0227270654154258,0,0.051459192200873,0,2.26422511046875,0.000265755204,2.25319218129728e-05,0,0.0782910536863363,0
2,0.16,2.03775,16,hard,1,white,0.1018875,letter,0.171979398327391,0,0.0256,0.0295769134490515,0,0.0669687901215032,0,2.26422511046875,0.000265755204,1.69802370860894e-05,0,0.0422494733536745,0
2,0.16,3.464175,16,hard,1,white,0.1018875,letter,0.144289893418196,0,0.0256,0.0208195733426345,0,0.0471402007516388,0,2.26422511046875,0.000265755204,2.47888585159296e-05,0,0.069363810007319,0
2,0.16,6.0113625,16,hard,1,white,0.1018875,letter,0.138820425384353,0,0.0256,0.0192711105038927,0,0.0436341323095319,0,2.26422511046875,0.000265755204,2.69829163777191e-05,0,0.0841894702044436,0
2,0.16,Inf,16,soft,1,white,0.1018875,letter,0.154132487369208,0,0.0256,0.023756823662619,0,0.0537907966818802,0,2.26422511046875,0.000265755204,2.14763312905442e-05,0,0.0666964317678021,0
2,0.16,0.611325,32,hard,1,white,0.1018875,letter,0.110728245708305,0,0.0256,0.0122607443976387,0,0.0280863553141166,0,2.2907544928125,0.000265755204,0.000321883459415094,0,0.111369614712346,0
2,0.16,1.1207625,32,hard,1,white,0.1018875,letter,0.122107274820634,0,0.0256,0.0149101865641219,0,0.0337600188202585,0,2.26422511046875,0.000265755204,0.000222497994314763,0,0.169069718324027,0
2,0.16,2.03775,32,hard,1,white,0.1018875,letter,0.197537290960597,0,0.0256,0.0390209813200515,0,0.0883522857399926,0,2.26422511046875,0.000265755204,5.60317719117633e-05,0,0.046972468589249,0
2,0.16,3.464175,32,hard,1,white,0.1018875,letter,0.237665673622008,0,0.0256,0.0564849724182029,0,0.12789469291343,0,2.26422511046875,0.000265755204,3.63390552807905e-05,0,0.0353603729208137,0
2,0.16,6.0113625,32,hard,1,white,0.1018875,letter,0.18524149828999,0,0.0256,0.0343144126887204,0,0.0776955548607882,0,2.26422511046875,0.000265755204,6.56145917867135e-05,0,0.0581714680476285,0
2,0.16,Inf,32,soft,1,white,0.1018875,letter,0.189332647466245,0,0.0256,0.0358468513965773,0,0.081165341063372,0,2.26422511046875,0.000265755204,6.21535742918383e-05,0,0.0505361078135629,0
3.46410161513775,0,0,0,hard,1,white,0.05094375,letter,0.00443366381266573,0,0,1.96573748037416e-05,0,0.000171776910401596,0,8.73854785375,6.6438801e-05,0,0,0,0
3.46410161513775,0.16,0.66226875,0,hard,1,white,0.05094375,letter,0.00443802891237829,0,0.0256,1.96961006271056e-05,0,0.000172115317862238,0,8.73854785375,6.6438801e-05,0.0337245873507679,0,240.454282075272,0
3.46410161513775,0.16,1.17170625,0,hard,1,white,0.05094375,letter,0.0149871701443858,0,0.0256,0.000224615268936769,0,0.00196281127628688,0,8.73854785375,6.6438801e-05,6.37210105174353e-06,0,0.164446628621868,0
3.46410161513775,0.16,1.98680625,0,hard,1,white,0.05094375,letter,0.0368644059410471,0,0.0256,0.00135898442538631,0,0.0118755504337392,0,8.73854785375,6.6438801e-05,9.75125838158891e-07,0,0.0712919294217407,0
3.46410161513775,0.16,3.51511875,0,hard,1,white,0.05094375,letter,0.0343054679147473,0,0.0256,0.00117686512884976,0,0.0102840922458633,0,8.73854785375,6.6438801e-05,1.1285894068735e-06,0,0.0859994061160734,0
3.46410161513775,0.16,6.0113625,0,hard,1,white,0.05094375,letter,0.0334872262616626,0,0.0256,0.00112139432269979,0,0.00979935795183564,0,8.73854785375,6.6438801e-05,1.18541219413787e-06,0,0.0908849708266484,0
3.46410161513775,0.16,Inf,0,soft,1,white,0.05094375,letter,0.0365090790451297,0,0.0256,0.00133291285272353,0,0.011647722748403,0,8.73854785375,6.6438801e-05,9.94484648818632e-07,0,0.0832987481794491,0
4,0,0,8,hard,1,white,0.203775,letter,0.0187022943424642,0,0,0.00034977581367217,0,0.00316788472140467,0,9.056900441875,0,0,0,0,0
4,0,0,16,hard,1,white,0.203775,letter,0.0303728199816758,0,0,0.000922508193639284,0,0.00835506486660494,0,9.056900441875,0,0,0,0,0
4,0,0,32,hard,1,white,0.203775,letter,0.0418856259755319,0.000531823644695578,0,0.00175454708155668,4.45515325333264e-05,0.0158907582382412,0.000403498794687293,9.056900441875,0,0,0,0,0
4,0.16,1.22265,8,hard,1,white,0.203775,letter,0.0374430885415693,0,0.0256,0.00140198487953179,0,0.0126976374749336,0,9.056900441875,0.001063020816,0.000353369860544861,0,0.464223356822536,0
4,0.16,2.241525,8,hard,1,white,0.203775,letter,0.130023232393359,0,0.0256,0.0169060409620175,0,0.153116329859254,0,9.056900441875,0.001063020816,2.24579014370287e-05,0,0.131059919157176,0
4,0.16,4.0755,8,hard,1,white,0.203775,letter,0.144854626397688,0,0.0256,0.0209828627888139,0,0.190039699263811,0,9.056900441875,0.001063020816,1.80205206964335e-05,0,0.0845291912664482,0
4,0.16,6.92835,8,hard,1,white,0.203775,letter,0.1431214638127,0,0.0256,0.0204837534038899,0,0.185519315254949,0,9.056900441875,0.001063020816,1.84672387361505e-05,0,0.0723850877480778,0
4,0.16,12.022725,8,hard,1,white,0.203775,letter,0.141455831539555,0,0.0256,0.0200097522765471,0,0.181226334235269,0,9.056900441875,0.001063020816,1.89124830118175e-05,0,0.0669557105435988,0
4,0.16,Inf,8,soft,1,white,0.203775,letter,0.159118741829852,0,0.0256,0.0253187740015151,0,0.229309615442056,0,9.056900441875,0.001063020816,1.48912250331248e-05,0,0.059443840004071,0
4,0.16,1.22265,16,hard,1,white,0.203775,letter,0.0507122504250664,0,0.0256,0.00257173234317465,0,0.0232919237952827,0,9.056900441875,0.001063020816,0.000594610146259013,0,0.283541437834628,0
4,0.16,2.241525,16,hard,1,white,0.203775,letter,0.161500169819525,0,0.0256,0.0260823048517354,0,0.2362248383368,0,9.056900441875,0.001063020816,3.89766827647854e-05,0,0.0585971553480928,0
4,0.16,4.0755,16,hard,1,white,0.203775,letter,0.151720587692724,0,0.0256,0.0230191367298257,0,0.208482029619939,0,9.056900441875,0.001063020816,4.43798659674787e-05,0,0.0627626643677951,0
4,0.16,6.92835,16,hard,1,white,0.203775,letter,0.151979730692743,0,0.0256,0.0230978385414387,0,0.209194824092314,0,9.056900441875,0.001063020816,4.42223586926826e-05,0,0.07374899460795,0
4,0.16,12.022725,16,hard,1,white,0.203775,letter,0.149852911508188,0,0.0256,0.022455895087481,0,0.203380806140505,0,9.056900441875,0.001063020816,4.55406953677859e-05,0,0.0681639259054037,0
4,0.16,Inf,16,soft,1,white,0.203775,letter,0.146186876811479,0,0.0256,0.0213706029518946,0,0.19355142331815,0,9.056900441875,0.001063020816,4.79577889462396e-05,0,0.077863388942091,0
4,0.16,1.22265,32,hard,1,white,0.203775,letter,0.0632591597808129,0,0.0256,0.00400172129617442,0,0.0362431913755827,0,9.056900441875,0.001063020816,0.000829984635020421,0,0.192085070536706,0
4,0.16,2.241525,32,hard,1,white,0.203775,letter,0.162585098397496,0,0.0256,0.0264339142209233,0,0.239409329387966,0,9.056900441875,0.001063020816,7.55740639463848e-05,0,0.0672444560637031,0
4,0.16,4.0755,32,hard,1,white,0.203775,letter,0.221798740777126,0,0.0256,0.0491946814103189,0,0.445551331803017,0,9.056900441875,0.001063020816,3.93152358596087e-05,0,0.0369597181191337,0
4,0.16,6.92835,32,hard,1,white,0.203775,letter,0.170624732170361,0,0.0256,0.0291127992282075,0,0.263671724194171,0,9.056900441875,0.001063020816,6.81739484068295e-05,0,0.0640991699099542,0
4,0.16,12.022725,32,hard,1,white,0.203775,letter,0.165256365568223,0,0.0256,0.0273096663608182,0,0.247340929330753,0,9.056900441875,0.001063020816,7.29842052375151e-05,0,0.0521938073046707,0
4,0.16,Inf,32,soft,1,white,0.203775,letter,0.175484138775926,0,0.0256,0.0307946829619284,0,0.27890437772529,0,9.056900441875,0.001063020816,6.4225597222754e-05,0,0.0570610436352573,0
8,0,0,0,hard,1,white,0.05094375,letter,0.00440873320306507,0,0,1.94369284558084e-05,0,0.000692797800359156,0,35.6433786302344,6.6438801e-05,0,0,0,0
8,0,0,8,hard,1,white,0.3948140625,letter,0.0186886852602414,0,0,0.000349266956756365,0,0.0118746417532612,0,33.9987551743823,0,0,0,0,0
8,0,0,16,hard,1,white,0.3948140625,letter,0.0187584101491661,0,0,0.000351877951324337,0,0.0119634123183393,0,33.9987551743823,0,0,0,0,0
8,0,0,32,hard,1,white,0.3948140625,letter,0.0301279152349138,0,0,0.000907691276402153,0,0.0308603734803194,0,33.9987551743823,0,0,0,0,0
8,0.16,1.3245375,0,hard,1,white,0.05094375,letter,0.0160972836163177,0,0.0256,0.000259122539824171,0,0.00923600279858092,0,35.6433786302344,6.6438801e-05,5.38775028819751e-06,0,0.0104889464481511,0
8,0.16,2.3434125,0,hard,1,white,0.05094375,letter,0.0168660411039419,0,0.0256,0.000284463342519856,0,0.0101392346238573,0,35.6433786302344,6.6438801e-05,4.87259440266438e-06,0,0.0287367386373511,0
8,0.16,4.02455625,0,hard,1,white,0.05094375,letter,0.0270735302297997,0,0.0256,0.00073297603910388,0,0.0261257424886691,0,35.6433786302344,6.6438801e-05,1.80980439958478e-06,0,0.0321418475464731,0
8,0.16,6.97929375,0,hard,1,white,0.05094375,letter,0.0293975678525535,0,0.0256,0.000864216995645486,0,0.0308036135944757,0,35.6433786302344,6.6438801e-05,1.52864191744328e-06,0,0.0255621784354877,0
8,0.16,12.022725,0,hard,1,white,0.05094375,letter,0.0285108540861061,0,0.0256,0.000812868800719231,0,0.0289733904407401,0,35.6433786302344,6.6438801e-05,1.62757038993507e-06,0,0.0324193690632288,0
8,0.16,Inf,0,soft,1,white,0.05094375,letter,0.0289920886236607,0,0.0256,0.000840541202762197,0,0.0299597283443656,0,35.6433786302344,6.6438801e-05,1.57271891297551e-06,0,0.0317460510033939,0
8,0.16,2.7636984375,8,hard,1,white,0.3948140625,letter,0.0407132463325132,0,0.0256,0.0016575684269319,0,0.0563552631320437,0,33.9987551743823,0.0039904804850625,0.00106530719928523,0,0.530326177113077,0
8,0.16,7.89628125,8,hard,1,white,0.3948140625,letter,0.157251743311426,0,0.0256,0.0247281107744827,0,0.840724984146642,0,33.9987551743823,0.0039904804850625,5.71701835178921e-05,0,0.0628774770993923,0
8,0.16,13.8184921875,8,hard,1,white,0.3948140625,letter,0.17523800678209,0,0.0256,0.03070835902096,0,1.04404598016065,0,33.9987551743823,0.0039904804850625,4.59085855422141e-05,0,0.0421835053011592,0
8,0.16,Inf,8,soft,1,white,0.3948140625,letter,0.179315031732689,0,0.0256,0.0321538806052951,0,1.09319191460575,0,33.9987551743823,0.0039904804850625,4.38220375954002e-05,0,0.0530215200286326,0
8,0.16,2.7636984375,16,hard,1,white,0.3948140625,letter,0.0705494011154002,0,0.0256,0.00497721799774163,0,0.169219216154747,0,33.9987551743823,0.0039904804850625,0.000303580295457666,0,0.141734920312059,0
8,0.16,4.73776875,16,hard,1,white,0.3948140625,letter,0.145408184309041,0,0.0256,0.021143540064052,0,0.718854042157448,0,33.9987551743823,0.0039904804850625,6.75348651911757e-05,0,0.0775813267310015,0
8,0.16,7.89628125,16,hard,1,white,0.3948140625,letter,0.155771844055282,0,0.0256,0.0242648674003832,0,0.824975286084478,0,33.9987551743823,0.0039904804850625,5.87196385828207e-05,0,0.058924928732668,0
8,0.16,13.8184921875,16,hard,1,white,0.3948140625,letter,0.161853041328264,0,0.0256,0.0261964069872088,0,0.890645227606591,0,33.9987551743823,0.0039904804850625,5.43311157241014e-05,0,0.0615510684737553,0
8,0.16,Inf,16,soft,1,white,0.3948140625,letter,0.175132737002888,0,0.0256,0.0306714755701226,0,1.08688355016485,0,35.4362980574561,0.0039904804850625,4.44123816367709e-05,0,0.042743029533936,0
8,0.16,2.7636984375,32,hard,1,white,0.3948140625,letter,0.0705681212998548,0,0.0256,0.00497985974379102,0,0.169309032231913,0,33.9987551743823,0.0039904804850625,0.000889482926345338,0,0.18561955455333,0
8,0.16,4.73776875,32,hard,1,white,0.3948140625,letter,0.16881934849728,0,0.0256,0.0284999724270459,0,0.968963585023781,0,33.9987551743823,0.0039904804850625,0.000131273101530417,0,0.0538370214570481,0
8,0.16,7.89628125,32,hard,1,white,0.3948140625,letter,0.187178456074353,0,0.0256,0.0350357744183784,0,1.19117271679533,0,33.9987551743823,0.0039904804850625,0.000106133248383036,0,0.044538127142933,0
8,0.16,13.8184921875,32,hard,1,white,0.3948140625,letter,0.196817521870985,0,0.0256,0.0387371369154356,0,1.31701443414442,0,33.9987551743823,0.0039904804850625,9.57488079393596e-05,0,0.0417834676149287,0
8,0.16,Inf,32,soft,1,white,0.3948140625,letter,0.185903581180798,0,0.0256,0.0345601414958457,0,1.17500178950927,0,33.9987551743823,0.0039904804850625,0.000107633301626622,0,0.0422858032292121,0
16,0,0,0,hard,1,white,0.05094375,letter,0.00448893364313024,0,0,2.01505252524265e-05,0,0.00282409258281966,0,140.149824753555,6.6438801e-05,0,0,0,0
16,0,0,8,hard,1,white,0.8023640625,letter,0.0188916882107531,0,0,0.000356895883452307,0,0.050114368957615,0,140.417335366414,0,0,0,0,0
16,0,0,16,hard,1,white,0.8023640625,letter,0.0187160578464432,0,0,0.000350290821311409,0,0.0491869037318606,0,140.417335366414,0,0,0,0,0
16,0,0,32,hard,1,white,0.8023640625,letter,0.0214275115232039,0.00145861392231551,0,0.000460202027364221,6.25089332566424e-05,0.0646203424127053,0.00877733784449473,140.417335366414,0,0,0,0,0
16,0.16,2.649075,0,hard,1,white,0.05094375,letter,0.016712836689221,0,0.0256,0.000279318910200572,0,0.039146496314964,0,140.149824753555,6.6438801e-05,5.16566377322336e-06,0,0.00392526110156576,0
16,0.16,4.63588125,0,hard,1,white,0.05094375,letter,0.0168555735432107,0,0.0256,0.000284110359470585,0,0.0398180170904719,0,140.149824753555,6.6438801e-05,5.07189565888636e-06,0,0.00790134194522864,0
16,0.16,7.99816875,0,hard,1,white,0.05094375,letter,0.0235155468296262,0,0.0256,0.000552980942696341,0,0.0775001822109477,0,140.149824753555,6.6438801e-05,2.5125756590883e-06,0,0.0143689802766111,0
16,0.16,14.00953125,0,hard,1,white,0.05094375,letter,0.0234632153183634,0,0.0256,0.000550522473075881,0,0.0771556281244783,0,140.149824753555,6.6438801e-05,2.5242223741009e-06,0,0.0151834470978985,0
16,0.16,Inf,0,soft,1,white,0.05094375,letter,0.0244169860721872,0,0.0256,0.000596189208849383,0,0.0835558131402015,0,140.149824753555,6.6438801e-05,2.3241090840145e-06,0,0.0109726211355492,0
16,0.16,5.6165484375,8,hard,1,white,0.8023640625,letter,0.0282471708808404,0,0.0256,0.000797902662771399,0,0.112039365788126,0,140.417335366414,0.0164809750730625,0.0133376456659868,0,1.78208425704382,0
16,0.16,9.62836875,8,hard,1,white,0.8023640625,letter,0.191214433292313,0,0.0256,0.0365629594993004,0,5.13407334600186,0,140.417335366414,0.0164809750730625,0.000162458758877102,0,0.0429592580093025,0
16,0.16,16.04728125,8,hard,1,white,0.8023640625,letter,0.182103991306801,0,0.0256,0.0331618636498676,0,4.65650052949873,0,140.417335366414,0.0164809750730625,0.000179301872836403,0,0.0472236738816518,0
16,0.16,Inf,8,soft,1,white,0.8023640625,letter,0.17232327447225,0,0.0256,0.0296953109248384,0,4.16973643294296,0,140.417335366414,0.0164809750730625,0.000200487727457624,0,0.0532471540122594,0
16,0.16,5.6165484375,16,hard,1,white,0.8023640625,letter,0.0401278676316082,0,0.0256,0.00161024576065987,0,0.226106418996923,0,140.417335366414,0.0164809750730625,0.00458201647857445,0,0.495520759318717,0
16,0.16,9.62836875,16,hard,1,white,0.8023640625,letter,0.173792098322388,0,0.0256,0.0302036934392986,0,4.24112215097034,0,140.417335366414,0.0164809750730625,0.00019338279017071,0,0.0515222638103461,0
16,0.16,16.04728125,16,hard,1,white,0.8023640625,letter,0.188820545360508,0,0.0256,0.0356531983502395,0,5.00632710963084,0,140.417335366414,0.0164809750730625,0.000163531411389424,0,0.0444630086718501,0
16,0.16,Inf,16,soft,1,white,0.8023640625,letter,0.180149891033498,0,0.0256,0.0324539832393812,0,4.55710184850016,0,140.417335366414,0.0164809750730625,0.000179827735052261,0,0.0491142491292213,0
16,0.16,5.6165484375,32,hard,1,white,0.8023640625,letter,0.0656995707834692,0,0.0256,0.00431643360113208,0,0.60610210455702,0,140.417335366414,0.0164809750730625,0.00196683679298642,0,0.179699388973915,0
16,0.16,9.62836875,32,hard,1,white,0.8023640625,letter,0.210700117391861,0,0.0256,0.044394539468944,0,6.23376293704819,0,140.417335366414,0.0164809750730625,0.000172634403594862,0,0.03605601478826,0
16,0.16,16.04728125,32,hard,1,white,0.8023640625,letter,0.193257319178413,0,0.0256,0.0373483914160271,0,5.24436160286037,0,140.417335366414,0.0164809750730625,0.000205609932806666,0,0.0396219984194285,0
16,0.16,Inf,32,soft,1,white,0.8023640625,letter,0.185343980441305,0,0.0256,0.0343523910858268,0,4.82367121973674,0,140.417335366414,0.0164809750730625,0.00022378543116467,0,0.0429535269116832,0
